msa,base,action,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_contractor,direct,indirect,total_job_changes,ea_employment,changes_as_percent_of_employment
"Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area","Portland International Airport Air Guard Station",Realign,-112,-452,0,0,-112,-452,0,-564,-453,-1017,1232839,-0.1%
"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area","Carpenter U.S. Army Reserve Center,Poughkeepie",Close,-8,-1,0,0,-8,-1,0,-9,-5,-14,312628,0.0%
"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area","United States Military Academy",Gain,0,0,226,38,226,38,0,264,158,422,312628,0.1%
"Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area","Harwood U.S. Army Reserve Center, Providence",Close,-20,-4,0,0,-20,-4,0,-24,-30,-54,864734,0.0%
"Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area","USARC Bristol",Close,-24,0,0,0,-24,0,0,-24,-28,-52,864734,0.0%
"Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area","Naval Station Newport",Gain,-122,-225,647,309,525,84,-76,533,654,1187,864734,0.1%
"Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area","Quonset State Airport Air Guard Station",Gain,0,0,17,29,17,29,0,46,67,113,864734,0.0%
"Rapid City, SD Metropolitan Statistical Area","Ellsworth Air Force Base",Close,-3315,-438,0,0,-3315,-438,-99,-3852,-2915,-6767,79970,-8.5%
"Reading, PA Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Reading",Close,-18,0,0,0,-18,0,0,-18,-6,-24,213550,0.0%
"Reno-Sparks, NV Metropolitan Statistical Area","Hawthorne Army Depot",Close,-74,-45,0,0,-74,-45,-80,-199,-126,-325,243270,-0.1%
"Reno-Sparks, NV Metropolitan Statistical Area","Reno-Tahoe International Airport Air Guard Station",Realign,-23,-124,0,0,-23,-124,0,-147,-115,-262,243270,-0.1%
"Richmond, VA Metropolitan Statistical Area","Leased Space - VA",Close/Realign,0,-215,0,0,0,-215,0,-215,-166,-381,715302,-0.1%
"Richmond, VA Metropolitan Statistical Area","Defense Supply Center Richmond",Gain,0,-77,0,83,0,6,0,6,4,10,715302,0.0%
"Richmond, VA Metropolitan Statistical Area","Fort Lee",Gain,-392,-2,6531,1151,6139,1149,56,7344,4425,11769,715302,1.6%
"Richmond, VA Metropolitan Statistical Area","Richmond International Airport Air Guard Station",Realign,-25,-101,0,0,-25,-101,0,-126,-92,-218,715302,0.0%
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Defense Finance and Accounting Service, San Bernardino",Close,0,-120,0,0,0,-120,0,-120,-121,-241,1479524,0.0%
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Naval Support Activity Corona",Close,-6,-886,0,0,-6,-886,0,-892,-904,-1796,1479524,-0.1%
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","March Air Reserve Base",Realign,-71,-44,0,4,-71,-40,0,-111,-90,-201,1479524,0.0%
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area","Marine Corps Logistics Base Barstow",Realign,-140,-330,0,0,-140,-330,51,-419,-396,-815,1479524,-0.1%
"Rockingham County-Strafford County, NH Metropolitan Division","Doble U.S. Army Reserve Center Portsmouth",Close,-39,-5,0,0,-39,-5,0,-44,-29,-73,238671,0.0%
"Rockingham County-Strafford County, NH Metropolitan Division","Armed Forces Reserve Center Pease Air Force Base",Gain,0,0,20,28,20,28,0,48,40,88,238671,0.0%
"Rome, GA Metropolitan Statistical Area","Inspector/Instructor Rome GA",Close,-9,0,0,0,-9,0,0,-9,-3,-12,50944,0.0%
"Salinas, CA Metropolitan Statistical Area","Defense Finance and Accounting Service, Seaside",Close,-10,-51,0,0,-10,-51,0,-61,-61,-122,235299,-0.1%
"Salinas, CA Metropolitan Statistical Area","Fort Hunter Liggett",Gain,0,0,25,18,25,18,0,43,41,84,235299,0.0%
"Salt Lake City, UT Metropolitan Statistical Area","Deseret Chemical Depot",Close,-186,-62,0,0,-186,-62,0,-248,-143,-391,701532,-0.1%
"Salt Lake City, UT Metropolitan Statistical Area","Fort Douglas",Realign,-15,-38,0,0,-15,-38,0,-53,-41,-94,701532,0.0%
"San Antonio, TX Metropolitan Statistical Area","Army National Guard Reserve Center New Braunfels",Close,-106,0,0,0,-106,0,0,-106,-89,-195,1009217,0.0%
"San Antonio, TX Metropolitan Statistical Area","Brooks City Base",Close,-1297,-1268,0,0,-1297,-1268,-358,-2923,-2801,-5724,1009217,-0.6%
"San Antonio, TX Metropolitan Statistical Area","Defense Finance and Accounting Service, San Antonio",Close,-32,-303,0,0,-32,-303,0,-335,-367,-702,1009217,-0.1%
"San Antonio, TX Metropolitan Statistical Area","Leased Space - TX",Close/Realign,-78,-147,0,0,-78,-147,0,-225,-230,-455,1009217,0.0%
"San Antonio, TX Metropolitan Statistical Area","Fort Sam Houston",Gain,-117,0,7765,1624,7648,1624,92,9364,8324,17688,1009217,1.8%
"San Antonio, TX Metropolitan Statistical Area","Randolph Air Force Base",Gain,-576,-174,164,705,-412,531,63,182,300,482,1009217,0.0%
"San Antonio, TX Metropolitan Statistical Area","Lackland Air Force Base",Realign,-2489,-1223,235,453,-2254,-770,-116,-3140,-2755,-5895,1009217,-0.6%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Defense Finance and Accounting Service, San Diego",Close,-3,-237,0,0,-3,-237,0,-240,-256,-496,1806321,0.0%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Marine Corps Base Miramar",Gain,-46,-3,87,34,41,31,0,72,70,142,1806321,0.0%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Naval Base Point Loma",Gain,-12,-341,312,350,300,9,0,309,279,588,1806321,0.0%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Naval Station San Diego",Gain,-1,-2,1085,86,1084,84,2,1170,1066,2236,1806321,0.1%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Human Resources Support Center Southwest",Realign,0,-164,0,0,0,-164,0,-164,-175,-339,1806321,0.0%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Marine Corps Base Camp Pendleton",Realign,-145,-6,0,7,-145,1,0,-144,-129,-273,1806321,0.0%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Naval Base Coronado",Realign,-71,-587,0,198,-71,-389,0,-460,-481,-941,1806321,-0.1%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Naval Medical Center San Diego",Realign,-1596,-33,0,0,-1596,-33,-1,-1630,-1470,-3100,1806321,-0.2%
"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area","Naval Weapons Station Fallbrook",Realign,0,-118,0,0,0,-118,0,-118,-126,-244,1806321,0.0%
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","Onizuka Air Force Station",Close,-107,-171,0,0,-107,-171,0,-278,-114,-392,1187969,0.0%
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","AFRC Moffett Field",Gain,0,0,87,166,87,166,0,253,106,359,1187969,0.0%
"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area","Army National Guard Reserve Center Humacao",Close,-26,0,0,0,-26,0,0,-26,-18,-44,850261,0.0%
"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area","Lavergne U.S. Army Reserve Center Bayamon",Close,-25,-1,0,0,-25,-1,0,-26,-18,-44,850261,0.0%
"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area","Camp Euripides Rubio, Puerto Nuevo",Realign,-43,0,0,0,-43,0,0,-43,-29,-72,850261,0.0%
"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area","Fort Buchanan",Realign,-9,-47,0,0,-9,-47,0,-56,-54,-110,850261,0.0%
"Santa Ana-Anaheim-Irvine, CA Metropolitan Division","Naval Weapons Station Seal Beach Det Concord",Close,0,-71,0,0,0,-71,0,-71,-57,-128,1901499,0.0%
"Santa Ana-Anaheim-Irvine, CA Metropolitan Division","",Realign,-92,-78,0,0,-92,-78,0,-170,-99,-269,1901499,0.0%
"Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area","Vandenburg Air Force Base",Gain,0,0,44,101,44,101,0,145,114,259,254600,0.1%
"Savannah, GA Metropolitan Statistical Area","Savannah International Airport Air Guard Station",Gain,0,0,17,21,17,21,0,38,38,76,174403,0.0%
"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area","Serrenti U.S. Army Reserve Center, Scranton",Close,-47,-8,0,0,-47,-8,0,-55,-21,-76,306854,0.0%
"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area","Tobyhanna Army Depot",Gain,-1,-82,3,355,2,273,0,275,192,467,306854,0.2%
"Seattle-Bellevue-Everett, WA Metropolitan Division","Army National Guard Reserve Center Everett",Close,-57,0,0,0,-57,0,0,-57,-32,-89,1690448,0.0%
"Seattle-Bellevue-Everett, WA Metropolitan Division","U.S. Army Reserve Center Fort Lawton",Close,-53,-54,0,0,-53,-54,0,-107,-76,-183,1690448,0.0%
"Shreveport-Bossier City, LA Metropolitan Statistical Area","Barksdale Air Force Base",Gain,0,0,5,60,5,60,0,65,70,135,211384,0.1%
"Sierra Vista-Douglas, AZ Micropolitan Statistical Area","Fort Huachuca",Realign,0,-212,0,44,0,-168,1,-167,-125,-292,51749,-0.6%
"Sioux City, IA-NE-SD Metropolitan Statistical Area","Navy Reserve Center Sioux City",Close,-7,0,0,0,-7,0,0,-7,-2,-9,93206,0.0%
"Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux Gateway Airport Air Guard",Gain,0,0,33,170,33,170,0,203,155,358,93206,0.4%
"Sioux Falls, SD Metropolitan Statistical Area","Joe Foss Field Air Guard Station",Gain,-4,0,32,27,28,27,0,55,35,90,149410,0.1%
"Spokane, WA Metropolitan Statistical Area","LT Richard H. Walker U.S. Army Reserve Center",Close,-38,0,0,0,-38,0,0,-38,-32,-70,249887,0.0%
"Spokane, WA Metropolitan Statistical Area","Fairchild Air Force Base",Realign,-26,-172,0,0,-26,-172,0,-198,-215,-413,249887,-0.2%
"Springfield, IL Metropolitan Statistical Area","Capital Airport Air Guard Station",Realign,-52,-133,22,0,-30,-133,0,-163,-105,-268,139247,-0.2%
"Springfield, MA Metropolitan Statistical Area","Westover U.S. Army Reserve Center, Cicopee",Close,-13,0,0,0,-13,0,0,-13,-5,-18,374117,0.0%
"Springfield, MA Metropolitan Statistical Area","Barnes Municipal Airport Air Guard Station",Gain,0,-5,23,89,23,84,0,107,86,193,374117,0.1%
"Springfield, MA Metropolitan Statistical Area","Westover Air Force Base",Gain,0,0,69,11,69,11,0,80,41,121,374117,0.0%
"Springfield, OH Metropolitan Statistical Area","Springfield-Beckley Municipal Airport Air Guard Station",Realign,-66,-225,0,0,-66,-225,0,-291,-149,-440,67753,-0.6%
"Joseph, MO-KS Metropolitan Statistical Area","Rosecrans Memorial Airport Air Guard Station",Gain,0,0,8,27,8,27,0,35,23,58,68849,0.1%
"Louis, MO-IL Metropolitan Statistical Area","Army National Guard Reserve Center Jefferson Barracks",Close,-67,0,0,0,-67,0,0,-67,-54,-121,1668793,0.0%
"Louis, MO-IL Metropolitan Statistical Area","Defense Finance and Accounting Service, St. Louis",Close,-2,-291,0,0,-2,-291,0,-293,-318,-611,1668793,0.0%
"Louis, MO-IL Metropolitan Statistical Area","Leased Space - MO",Close/Realign,-709,-1234,0,0,-709,-1234,-150,-2093,-2078,-4171,1668793,-0.2%
"Louis, MO-IL Metropolitan Statistical Area","Scott Air Force Base",Gain,-252,0,131,832,-121,832,86,797,900,1697,1668793,0.1%
"Louis, MO-IL Metropolitan Statistical Area","Lambert International Airport- St Louis",Realign,-34,-215,0,0,-34,-215,0,-249,-261,-510,1668793,0.0%
"Marys, GA Micropolitan Statistical Area","Submarine Base Kings Bay",Gain,0,0,3245,102,3245,102,20,3367,1667,5034,23025,21.9%
"Stewart County, GA ","Bethesda/Chevy Chase",Realign,-5,-2,0,0,-5,-2,0,-7,-4,-11,1628,-0.7%
"Stockton, CA Metropolitan Statistical Area","Defense Distribution Depot San Joaquin",Realign,0,-31,0,0,0,-31,0,-31,-20,-51,269709,0.0%
"Sumter, SC Metropolitan Statistical Area","Shaw Air Force Base",Gain,-74,-1,816,76,742,75,0,817,604,1421,54168,2.6%
"Tacoma, WA Metropolitan Division","Navy-Marine Corps Reserve Center Tacoma",Close,-20,0,0,0,-20,0,0,-20,-15,-35,339431,0.0%
"Tacoma, WA Metropolitan Division","Fort Lewis",Gain,-2,-1,187,46,185,45,0,230,187,417,339431,0.1%
"Tacoma, WA Metropolitan Division","McChord Air Force Base",Realign,-460,-143,36,7,-424,-136,-7,-567,-469,-1036,339431,-0.3%
"Petersburg-Clearwater, FL Metropolitan Statistical Area","Navy Reserve Center ST Petersburg",Close,-12,0,0,0,-12,0,0,-12,-10,-22,1485074,0.0%
"Petersburg-Clearwater, FL Metropolitan Statistical Area","MacDill Air Force Base",Gain,-292,0,162,231,-130,231,0,101,152,253,1485074,0.0%
"Terre Haute, IN Metropolitan Statistical Area","Newport Chemical Depot",Close,-210,-81,0,0,-210,-81,-280,-571,-267,-838,89765,-0.9%
"Terre Haute, IN Metropolitan Statistical Area","Hulman Regional Airport Air Guard Station",Realign,-12,-124,0,0,-12,-124,0,-136,-95,-231,89765,-0.3%
"TX-Texarkana, AR Metropolitan Statistical Area","Lone Star Army Ammunition Plant",Close,-2,-18,0,0,-2,-18,-129,-149,-80,-229,67895,-0.3%
"TX-Texarkana, AR Metropolitan Statistical Area","Red River Army Depot",Close,-9,-2491,0,0,-9,-2491,0,-2500,-1676,-4176,67895,-6.2%
"Toledo, OH Metropolitan Statistical Area","Toledo Express Airport Air Guard Station",Gain,0,0,14,112,14,112,0,126,90,216,403161,0.1%
"Topeka, KS Metropolitan Statistical Area","Forbes Field Air Guard Station",Gain,0,0,53,194,53,194,0,247,169,416,144675,0.3%
"Trenton-Ewing, NJ Metropolitan Statistical Area","Inspector/Instruct or Center West Trenton",Close,-11,-1,0,0,-11,-1,0,-12,-4,-16,249721,0.0%
"Troy, AL Micropolitan Statistical Area","Anderson U.S. Army Reserve Center Troy",Close,-15,0,0,0,-15,0,0,-15,-8,-23,15306,-0.2%
"Tucson, AZ Metropolitan Statistical Area","Allen Hall Armed Forces Reserve Center, Tucson",Close,-60,0,0,0,-60,0,0,-60,-52,-112,448946,0.0%
"Tulsa, OK Metropolitan Statistical Area","Armed Forces Reserve Center Broken Arrow",Close,-26,0,32,0,6,0,0,6,2,8,533659,0.0%
"Tulsa, OK Metropolitan Statistical Area","Navy-Marine Corps Reserve Center Tulsa",Close,-32,0,0,0,-32,0,0,-32,-11,-43,533659,0.0%
"Tulsa, OK Metropolitan Statistical Area","Tulsa International Airport Air Guard Station",Gain,0,0,22,81,22,81,0,103,83,186,533659,0.0%
"Tuscaloosa, AL Metropolitan Statistical Area","Navy Reserve Center Tuscaloosa AL",Close,-7,0,0,0,-7,0,0,-7,-2,-9,104345,0.0%
"Tuskegee, AL Micropolitan Statistical Area","Abbott U.S. Army Reserve Center Tuskegee",Close,-2,-1,0,0,-2,-1,0,-3,-1,-4,8256,0.0%
"Utica-Rome, NY Metropolitan Statistical Area","Defense Finance and Accounting Service, Rome",Close,0,-290,0,0,0,-290,0,-290,-274,-564,158421,-0.4%
"Utica-Rome, NY Metropolitan Statistical Area","Rome Laboratory",Realign,-13,-124,0,0,-13,-124,0,-137,-122,-259,158421,-0.2%
"Valdosta, GA Metropolitan Statistical Area","Moody Air Force Base",Gain,-604,-145,1274,50,670,-95,0,575,416,991,65992,1.5%
"Vicksburg, MS Micropolitan Statistical Area","U.S. Army Reserve Center Vicksburg",Close,-26,-2,0,0,-26,-2,0,-28,-15,-43,29916,-0.1%
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Fort Monroe",Close,-1393,-1948,0,0,-1393,-1948,-223,-3564,-4418,-7982,978888,-0.8%
